dcterms:identifier,osgeo:termID,rdf:type,rdf:type,rdfs:label,osgeo:abbreviation,skos:prefLabel @en,skos:altLabel @en,skos:definition @en,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo:example @en,osgeo:example @en,osgeo:hasSource,osgeo:hasSource,osgeo:clause,osgeo:hasInfo,osgeo:hasReview,osgeo:hasLDAPI,osgeo:jsonURI,osgeo:hasLDAPI,osgeo:jsonldURI,osgeo:hasLDAPI,osgeo:rdfxmlURI,osgeo:hasLDAPI,osgeo:rdfxmlURI2,skos:inScheme,osgeo:hasOrigin @anyURI,osgeo:hasOrigin,osgeo:classification,skos:notation
374,osgeo-concept:c374,skos:Concept,owl:NamedIndividual,Small or Medium Sized Enterprise,SME,Small or Medium Sized Enterprise,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info374,osgeo-review:Review374,ldapi374-json,https://osgeo.geolexica.org/api/ldapi/374.json,ldapi374-jsonld,https://osgeo.geolexica.org/api/ldapi/374.jsonld,ldapi374-rdfxml,https://osgeo.geolexica.org/api/ldapi/374.rdf,ldapi374-skosrdf,https://osgeo.geolexica.org/api/ldapi/374.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,374
375,osgeo-concept:c375,skos:Concept,owl:NamedIndividual,Software as a Service,SaaS,Software as a Service,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info375,osgeo-review:Review375,ldapi375-json,https://osgeo.geolexica.org/api/ldapi/375.json,ldapi375-jsonld,https://osgeo.geolexica.org/api/ldapi/375.jsonld,ldapi375-rdfxml,https://osgeo.geolexica.org/api/ldapi/375.rdf,ldapi375-skosrdf,https://osgeo.geolexica.org/api/ldapi/375.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,375
376,osgeo-concept:c376,skos:Concept,owl:NamedIndividual,SP,,SP,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info376,osgeo-review:Review376,ldapi376-json,https://osgeo.geolexica.org/api/ldapi/376.json,ldapi376-jsonld,https://osgeo.geolexica.org/api/ldapi/376.jsonld,ldapi376-rdfxml,https://osgeo.geolexica.org/api/ldapi/376.rdf,ldapi376-skosrdf,https://osgeo.geolexica.org/api/ldapi/376.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,376
377,osgeo-concept:c377,skos:Concept,owl:NamedIndividual,Spatial Data Infrastructure,SDI,Spatial Data Infrastructure,,"computer system integrated by a set of resources to manage geographic information available from the Internet, that follow a set of interoperational capacity conditions that allow access through a simple browser and can be combined based on user needs",,,,"EXAMPLE 1  Catalogues, servers, programs, data, applications, web pages are examples of various resources.","EXAMPLE 2  Rules, specifications, protocols, and interfaces are examples of interoperational capacity conditions.",https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,,osgeo-info:Info377,osgeo-review:Review377,ldapi377-json,https://osgeo.geolexica.org/api/ldapi/377.json,ldapi377-jsonld,https://osgeo.geolexica.org/api/ldapi/377.jsonld,ldapi377-rdfxml,https://osgeo.geolexica.org/api/ldapi/377.rdf,ldapi377-skosrdf,https://osgeo.geolexica.org/api/ldapi/377.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,377
378,osgeo-concept:c378,skos:Concept,owl:NamedIndividual,Spatial Data Transfer Standard,SDTS,Spatial Data Transfer Standard,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info378,osgeo-review:Review378,ldapi378-json,https://osgeo.geolexica.org/api/ldapi/378.json,ldapi378-jsonld,https://osgeo.geolexica.org/api/ldapi/378.jsonld,ldapi378-rdfxml,https://osgeo.geolexica.org/api/ldapi/378.rdf,ldapi378-skosrdf,https://osgeo.geolexica.org/api/ldapi/378.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,378
379,osgeo-concept:c379,skos:Concept,owl:NamedIndividual,Spatial reference ID,SRID,Spatial reference ID,,unique number assigned to a particular coordinate reference system,,,,EXAMPLE  The PostGIS table spatial_ref_sys contains a large collection of well-known SRID values and text representations of the coordinate reference systems.,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info379,osgeo-review:Review379,ldapi379-json,https://osgeo.geolexica.org/api/ldapi/379.json,ldapi379-jsonld,https://osgeo.geolexica.org/api/ldapi/379.jsonld,ldapi379-rdfxml,https://osgeo.geolexica.org/api/ldapi/379.rdf,ldapi379-skosrdf,https://osgeo.geolexica.org/api/ldapi/379.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,379
380,osgeo-concept:c380,skos:Concept,owl:NamedIndividual,Spatial reference system,SRS,Spatial reference system,,system for identifying position in the real world,,,,,,,osgeo-source:ISO-19155-2012,4.2,osgeo-info:Info380,osgeo-review:Review380,ldapi380-json,https://osgeo.geolexica.org/api/ldapi/380.json,ldapi380-jsonld,https://osgeo.geolexica.org/api/ldapi/380.jsonld,ldapi380-rdfxml,https://osgeo.geolexica.org/api/ldapi/380.rdf,ldapi380-skosrdf,https://osgeo.geolexica.org/api/ldapi/380.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,380
381,osgeo-concept:c381,skos:Concept,owl:NamedIndividual,Special Activity Airspace Pilot,SAA Pilot,Special Activity Airspace Pilot,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info381,osgeo-review:Review381,ldapi381-json,https://osgeo.geolexica.org/api/ldapi/381.json,ldapi381-jsonld,https://osgeo.geolexica.org/api/ldapi/381.jsonld,ldapi381-rdfxml,https://osgeo.geolexica.org/api/ldapi/381.rdf,ldapi381-skosrdf,https://osgeo.geolexica.org/api/ldapi/381.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,381
382,osgeo-concept:c382,skos:Concept,owl:NamedIndividual,Special Interest Group,SIG,Special Interest Group,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info382,osgeo-review:Review382,ldapi382-json,https://osgeo.geolexica.org/api/ldapi/382.json,ldapi382-jsonld,https://osgeo.geolexica.org/api/ldapi/382.jsonld,ldapi382-rdfxml,https://osgeo.geolexica.org/api/ldapi/382.rdf,ldapi382-skosrdf,https://osgeo.geolexica.org/api/ldapi/382.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,382
383,osgeo-concept:c383,skos:Concept,owl:NamedIndividual,spherical mercator,,spherical mercator,,term to describe the map projection used by commercial API providers.,,,,"EXAMPLE  Google maps, Microsoft Virtual Earth, Yahoo maps",,,,,osgeo-info:Info383,osgeo-review:Review383,ldapi383-json,https://osgeo.geolexica.org/api/ldapi/383.json,ldapi383-jsonld,https://osgeo.geolexica.org/api/ldapi/383.jsonld,ldapi383-rdfxml,https://osgeo.geolexica.org/api/ldapi/383.rdf,ldapi383-skosrdf,https://osgeo.geolexica.org/api/ldapi/383.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,383
384,osgeo-concept:c384,skos:Concept,owl:NamedIndividual,SPIDER,,SPIDER,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info384,osgeo-review:Review384,ldapi384-json,https://osgeo.geolexica.org/api/ldapi/384.json,ldapi384-jsonld,https://osgeo.geolexica.org/api/ldapi/384.jsonld,ldapi384-rdfxml,https://osgeo.geolexica.org/api/ldapi/384.rdf,ldapi384-skosrdf,https://osgeo.geolexica.org/api/ldapi/384.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,384
385,osgeo-concept:c385,skos:Concept,owl:NamedIndividual,spindle,,spindle,,part of a sphere which is divided by two meridians or maximum circles,"Note to entry:  In the UTM projection, each spindle is defined by two meridians separated by a distance of 6 degrees (for a total circle round of 360 degrees) and by two parallels of 80 degrees latitude North and South.",,,,,,,,osgeo-info:Info385,osgeo-review:Review385,ldapi385-json,https://osgeo.geolexica.org/api/ldapi/385.json,ldapi385-jsonld,https://osgeo.geolexica.org/api/ldapi/385.jsonld,ldapi385-rdfxml,https://osgeo.geolexica.org/api/ldapi/385.rdf,ldapi385-skosrdf,https://osgeo.geolexica.org/api/ldapi/385.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,385
386,osgeo-concept:c386,skos:Concept,owl:NamedIndividual,SQL Multimedia and Application Packages,SQL/MM,SQL Multimedia and Application Packages,,defines SQL based interfaces and packages to widely used applications,Note to entry:  ISO/IEC 13249: SQL Multimedia and Application Packages (SQL/MM),,,"EXAMPLE  Example application areas such as video, audio and spatial data.",,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info386,osgeo-review:Review386,ldapi386-json,https://osgeo.geolexica.org/api/ldapi/386.json,ldapi386-jsonld,https://osgeo.geolexica.org/api/ldapi/386.jsonld,ldapi386-rdfxml,https://osgeo.geolexica.org/api/ldapi/386.rdf,ldapi386-skosrdf,https://osgeo.geolexica.org/api/ldapi/386.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,386
387,osgeo-concept:c387,skos:Concept,owl:NamedIndividual,Standard Interchange Format,SIF,Standard Interchange Format,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info387,osgeo-review:Review387,ldapi387-json,https://osgeo.geolexica.org/api/ldapi/387.json,ldapi387-jsonld,https://osgeo.geolexica.org/api/ldapi/387.jsonld,ldapi387-rdfxml,https://osgeo.geolexica.org/api/ldapi/387.rdf,ldapi387-skosrdf,https://osgeo.geolexica.org/api/ldapi/387.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,387
388,osgeo-concept:c388,skos:Concept,owl:NamedIndividual,Standards based Commercial Off-The-Shelf software,SCOTS,Standards based Commercial Off-The-Shelf software,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info388,osgeo-review:Review388,ldapi388-json,https://osgeo.geolexica.org/api/ldapi/388.json,ldapi388-jsonld,https://osgeo.geolexica.org/api/ldapi/388.jsonld,ldapi388-rdfxml,https://osgeo.geolexica.org/api/ldapi/388.rdf,ldapi388-skosrdf,https://osgeo.geolexica.org/api/ldapi/388.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,388
389,osgeo-concept:c389,skos:Concept,owl:NamedIndividual,Standards Working Group,SWG,Standards Working Group,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info389,osgeo-review:Review389,ldapi389-json,https://osgeo.geolexica.org/api/ldapi/389.json,ldapi389-jsonld,https://osgeo.geolexica.org/api/ldapi/389.jsonld,ldapi389-rdfxml,https://osgeo.geolexica.org/api/ldapi/389.rdf,ldapi389-skosrdf,https://osgeo.geolexica.org/api/ldapi/389.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,389
390,osgeo-concept:c390,skos:Concept,owl:NamedIndividual,Structured Query Language,SQL,Structured Query Language,,standard programming language for querying relational databases,Note to entry:  See http://en.wikipedia.org/wiki/SQL,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info390,osgeo-review:Review390,ldapi390-json,https://osgeo.geolexica.org/api/ldapi/390.json,ldapi390-jsonld,https://osgeo.geolexica.org/api/ldapi/390.jsonld,ldapi390-rdfxml,https://osgeo.geolexica.org/api/ldapi/390.rdf,ldapi390-skosrdf,https://osgeo.geolexica.org/api/ldapi/390.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,390
391,osgeo-concept:c391,skos:Concept,owl:NamedIndividual,Styled Layer Descriptor,SLD,Styled Layer Descriptor,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info391,osgeo-review:Review391,ldapi391-json,https://osgeo.geolexica.org/api/ldapi/391.json,ldapi391-jsonld,https://osgeo.geolexica.org/api/ldapi/391.jsonld,ldapi391-rdfxml,https://osgeo.geolexica.org/api/ldapi/391.rdf,ldapi391-skosrdf,https://osgeo.geolexica.org/api/ldapi/391.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,391
392,osgeo-concept:c392,skos:Concept,owl:NamedIndividual,Sustainable Development Goal,SDG,Sustainable Development Goal,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info392,osgeo-review:Review392,ldapi392-json,https://osgeo.geolexica.org/api/ldapi/392.json,ldapi392-jsonld,https://osgeo.geolexica.org/api/ldapi/392.jsonld,ldapi392-rdfxml,https://osgeo.geolexica.org/api/ldapi/392.rdf,ldapi392-skosrdf,https://osgeo.geolexica.org/api/ldapi/392.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,392
393,osgeo-concept:c393,skos:Concept,owl:NamedIndividual,Symbology Encoding,SE,Symbology Encoding,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info393,osgeo-review:Review393,ldapi393-json,https://osgeo.geolexica.org/api/ldapi/393.json,ldapi393-jsonld,https://osgeo.geolexica.org/api/ldapi/393.jsonld,ldapi393-rdfxml,https://osgeo.geolexica.org/api/ldapi/393.rdf,ldapi393-skosrdf,https://osgeo.geolexica.org/api/ldapi/393.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,393
394,osgeo-concept:c394,skos:Concept,owl:NamedIndividual,Synthetic Aperture Radar,SAR,Synthetic Aperture Radar,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info394,osgeo-review:Review394,ldapi394-json,https://osgeo.geolexica.org/api/ldapi/394.json,ldapi394-jsonld,https://osgeo.geolexica.org/api/ldapi/394.jsonld,ldapi394-rdfxml,https://osgeo.geolexica.org/api/ldapi/394.rdf,ldapi394-skosrdf,https://osgeo.geolexica.org/api/ldapi/394.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,394
395,osgeo-concept:c395,skos:Concept,owl:NamedIndividual,Tagged Image File Format,TIFF,Tagged Image File Format,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info395,osgeo-review:Review395,ldapi395-json,https://osgeo.geolexica.org/api/ldapi/395.json,ldapi395-jsonld,https://osgeo.geolexica.org/api/ldapi/395.jsonld,ldapi395-rdfxml,https://osgeo.geolexica.org/api/ldapi/395.rdf,ldapi395-skosrdf,https://osgeo.geolexica.org/api/ldapi/395.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,395
396,osgeo-concept:c396,skos:Concept,owl:NamedIndividual,Taxonomic Data Working Group,TDWG,Taxonomic Data Working Group,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info396,osgeo-review:Review396,ldapi396-json,https://osgeo.geolexica.org/api/ldapi/396.json,ldapi396-jsonld,https://osgeo.geolexica.org/api/ldapi/396.jsonld,ldapi396-rdfxml,https://osgeo.geolexica.org/api/ldapi/396.rdf,ldapi396-skosrdf,https://osgeo.geolexica.org/api/ldapi/396.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,396
397,osgeo-concept:c397,skos:Concept,owl:NamedIndividual,Technical Committee,TC,Technical Committee,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info397,osgeo-review:Review397,ldapi397-json,https://osgeo.geolexica.org/api/ldapi/397.json,ldapi397-jsonld,https://osgeo.geolexica.org/api/ldapi/397.jsonld,ldapi397-rdfxml,https://osgeo.geolexica.org/api/ldapi/397.rdf,ldapi397-skosrdf,https://osgeo.geolexica.org/api/ldapi/397.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,397
398,osgeo-concept:c398,skos:Concept,owl:NamedIndividual,Technical Committee Policies and Procedures,TC P&P,Technical Committee Policies and Procedures,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info398,osgeo-review:Review398,ldapi398-json,https://osgeo.geolexica.org/api/ldapi/398.json,ldapi398-jsonld,https://osgeo.geolexica.org/api/ldapi/398.jsonld,ldapi398-rdfxml,https://osgeo.geolexica.org/api/ldapi/398.rdf,ldapi398-skosrdf,https://osgeo.geolexica.org/api/ldapi/398.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,398
399,osgeo-concept:c399,skos:Concept,owl:NamedIndividual,Test Driven Development.,TDD,Test Driven Development.,,Definition not provided in this language.,,,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,,osgeo-info:Info399,osgeo-review:Review399,ldapi399-json,https://osgeo.geolexica.org/api/ldapi/399.json,ldapi399-jsonld,https://osgeo.geolexica.org/api/ldapi/399.jsonld,ldapi399-rdfxml,https://osgeo.geolexica.org/api/ldapi/399.rdf,ldapi399-skosrdf,https://osgeo.geolexica.org/api/ldapi/399.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,399
400,osgeo-concept:c400,skos:Concept,owl:NamedIndividual,"Test, Evaluation, And Measurement Engine",TEAM Engine,"Test, Evaluation, And Measurement Engine",,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info400,osgeo-review:Review400,ldapi400-json,https://osgeo.geolexica.org/api/ldapi/400.json,ldapi400-jsonld,https://osgeo.geolexica.org/api/ldapi/400.jsonld,ldapi400-rdfxml,https://osgeo.geolexica.org/api/ldapi/400.rdf,ldapi400-skosrdf,https://osgeo.geolexica.org/api/ldapi/400.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,400
401,osgeo-concept:c401,skos:Concept,owl:NamedIndividual,The Council of European Geodetic Surveyors,CLGE,The Council of European Geodetic Surveyors,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info401,osgeo-review:Review401,ldapi401-json,https://osgeo.geolexica.org/api/ldapi/401.json,ldapi401-jsonld,https://osgeo.geolexica.org/api/ldapi/401.jsonld,ldapi401-rdfxml,https://osgeo.geolexica.org/api/ldapi/401.rdf,ldapi401-skosrdf,https://osgeo.geolexica.org/api/ldapi/401.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,401
402,osgeo-concept:c402,skos:Concept,owl:NamedIndividual,The Open Source Geospatial Foundation,OSGEO,The Open Source Geospatial Foundation,,non-profit non-governmental organization whose mission is to support and promote the collaborative development of open geospatial technologies and data,,,,,,http://www.osgeo.org/,,,osgeo-info:Info402,osgeo-review:Review402,ldapi402-json,https://osgeo.geolexica.org/api/ldapi/402.json,ldapi402-jsonld,https://osgeo.geolexica.org/api/ldapi/402.jsonld,ldapi402-rdfxml,https://osgeo.geolexica.org/api/ldapi/402.rdf,ldapi402-skosrdf,https://osgeo.geolexica.org/api/ldapi/402.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,402
403,osgeo-concept:c403,skos:Concept,owl:NamedIndividual,tileindex,,tileindex,,vector data source that contains spatial extents (footprints) of raster data coverages,Note to entry:  A tilelindex is normally in the form of a shpfile,,,"EXAMPLE  MapServer can use a tileindex to render a directory of raster data by only reading the data that intersects the requested map extent, rather than reading all of the data.",,https://mapserver.org/glossary.html,,,osgeo-info:Info403,osgeo-review:Review403,ldapi403-json,https://osgeo.geolexica.org/api/ldapi/403.json,ldapi403-jsonld,https://osgeo.geolexica.org/api/ldapi/403.jsonld,ldapi403-rdfxml,https://osgeo.geolexica.org/api/ldapi/403.rdf,ldapi403-skosrdf,https://osgeo.geolexica.org/api/ldapi/403.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,403
404,osgeo-concept:c404,skos:Concept,owl:NamedIndividual,Topologically Integrated Geographic Encoding and Reference,TIGER,Topologically Integrated Geographic Encoding and Reference,,data file format developed by the US Census Bureau,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info404,osgeo-review:Review404,ldapi404-json,https://osgeo.geolexica.org/api/ldapi/404.json,ldapi404-jsonld,https://osgeo.geolexica.org/api/ldapi/404.jsonld,ldapi404-rdfxml,https://osgeo.geolexica.org/api/ldapi/404.rdf,ldapi404-skosrdf,https://osgeo.geolexica.org/api/ldapi/404.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,404
405,osgeo-concept:c405,skos:Concept,owl:NamedIndividual,Triangulated Irregular Network,TIN,Triangulated Irregular Network,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info405,osgeo-review:Review405,ldapi405-json,https://osgeo.geolexica.org/api/ldapi/405.json,ldapi405-jsonld,https://osgeo.geolexica.org/api/ldapi/405.jsonld,ldapi405-rdfxml,https://osgeo.geolexica.org/api/ldapi/405.rdf,ldapi405-skosrdf,https://osgeo.geolexica.org/api/ldapi/405.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,405
406,osgeo-concept:c406,skos:Concept,owl:NamedIndividual,U.S. Geological Survey,USGS,U.S. Geological Survey,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info406,osgeo-review:Review406,ldapi406-json,https://osgeo.geolexica.org/api/ldapi/406.json,ldapi406-jsonld,https://osgeo.geolexica.org/api/ldapi/406.jsonld,ldapi406-rdfxml,https://osgeo.geolexica.org/api/ldapi/406.rdf,ldapi406-skosrdf,https://osgeo.geolexica.org/api/ldapi/406.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,406
407,osgeo-concept:c407,skos:Concept,owl:NamedIndividual,UN Environment Programme,UNEP,UN Environment Programme,,"organization that coordinates United Nations environmental activities, assisting developing countries in implementing environmentally sound policies and encourages sustainable development through sound environmental practices",,,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,,osgeo-info:Info407,osgeo-review:Review407,ldapi407-json,https://osgeo.geolexica.org/api/ldapi/407.json,ldapi407-jsonld,https://osgeo.geolexica.org/api/ldapi/407.jsonld,ldapi407-rdfxml,https://osgeo.geolexica.org/api/ldapi/407.rdf,ldapi407-skosrdf,https://osgeo.geolexica.org/api/ldapi/407.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,407
408,osgeo-concept:c408,skos:Concept,owl:NamedIndividual,Unified Modeling Language,UML,Unified Modeling Language,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info408,osgeo-review:Review408,ldapi408-json,https://osgeo.geolexica.org/api/ldapi/408.json,ldapi408-jsonld,https://osgeo.geolexica.org/api/ldapi/408.jsonld,ldapi408-rdfxml,https://osgeo.geolexica.org/api/ldapi/408.rdf,ldapi408-skosrdf,https://osgeo.geolexica.org/api/ldapi/408.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,408
409,osgeo-concept:c409,skos:Concept,owl:NamedIndividual,Uniform Resource Locator,URL,Uniform Resource Locator,,specifies where an identified resource is located on a computer network and the mechanism for retrieving it,,,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,,osgeo-info:Info409,osgeo-review:Review409,ldapi409-json,https://osgeo.geolexica.org/api/ldapi/409.json,ldapi409-jsonld,https://osgeo.geolexica.org/api/ldapi/409.jsonld,ldapi409-rdfxml,https://osgeo.geolexica.org/api/ldapi/409.rdf,ldapi409-skosrdf,https://osgeo.geolexica.org/api/ldapi/409.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,409
410,osgeo-concept:c410,skos:Concept,owl:NamedIndividual,United Nations Global Geospatial Information Management,UN-GGIM,United Nations Global Geospatial Information Management,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info410,osgeo-review:Review410,ldapi410-json,https://osgeo.geolexica.org/api/ldapi/410.json,ldapi410-jsonld,https://osgeo.geolexica.org/api/ldapi/410.jsonld,ldapi410-rdfxml,https://osgeo.geolexica.org/api/ldapi/410.rdf,ldapi410-skosrdf,https://osgeo.geolexica.org/api/ldapi/410.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,410
411,osgeo-concept:c411,skos:Concept,owl:NamedIndividual,United Nations Office for the Coordination of Humanitarian Affairs,OCHA,United Nations Office for the Coordination of Humanitarian Affairs,,organization designed to strengthen the UN’s response to complex emergencies and natural disasters,,,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,,osgeo-info:Info411,osgeo-review:Review411,ldapi411-json,https://osgeo.geolexica.org/api/ldapi/411.json,ldapi411-jsonld,https://osgeo.geolexica.org/api/ldapi/411.jsonld,ldapi411-rdfxml,https://osgeo.geolexica.org/api/ldapi/411.rdf,ldapi411-skosrdf,https://osgeo.geolexica.org/api/ldapi/411.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,411
412,osgeo-concept:c412,skos:Concept,owl:NamedIndividual,United States Geospatial Intelligence Foundation,USGIF,United States Geospatial Intelligence Foundation,,United States Geospatial Intelligence Foundation,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info412,osgeo-review:Review412,ldapi412-json,https://osgeo.geolexica.org/api/ldapi/412.json,ldapi412-jsonld,https://osgeo.geolexica.org/api/ldapi/412.jsonld,ldapi412-rdfxml,https://osgeo.geolexica.org/api/ldapi/412.rdf,ldapi412-skosrdf,https://osgeo.geolexica.org/api/ldapi/412.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,412
